DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
a1411133400,591.75,591.75,590.98,591.5,628508
12,591.11,591.42,589.5,590.95,17004
24,592.01,592.2,591.13,591.16,20996
36,592.84,592.87,591.92,591.92,9693
48,592.875,593.3499,592.5,592.96,13754
60,591.4501,593.01,591.4501,592.66,7178
72,591.6,591.97,591.45,591.805,7180
84,592.24,592.25,591.74,591.74,8066
96,592.3001,592.78,592.051,592.15,4965
108,592.7,592.95,592.69,592.78,5778
120,592.655,592.9,591.91,592.86,7354
132,592.64,592.785,592.458,592.47,2531
144,592.36,592.67,592.24,592.62,2600
156,592.55,592.825,592.12,592.75,1965
168,591.89,592.25,591.78,592.175,2100
180,592.17,592.17,591.63,591.74,4562
192,592.2762,592.5,592.2,592.2,1480
204,591.81,592.06,591.69,592.03,3135
216,591.835,592.04,591.5,591.64,4282
228,591.58,591.985,591.51,591.985,5897
240,592.2,592.2,591.7,591.7,6025
252,592.34,592.4,591.91,592.31,6605
264,592.37,592.5,592.09,592.28,12583
276,592.6,592.67,592.25,592.35,12132
288,592.86,592.9999,592.455,592.455,6607
300,592.67,592.99,592.63,592.9,2000
312,592.88,593.05,592.68,592.68,5217
324,593.71,593.8,592.97,593.04,10642
336,593.7,593.86,593.47,593.65,4707
348,593.76,593.87,593.61,593.61,4600
360,593.83,593.9,593.56,593.84,7506
372,593.35,593.85,593.35,593.85,5600
384,593.61,593.91,593.38,593.38,13417
396,593.9,594,593.55,593.64,11350
408,593.9,594,593.59,593.76,7289
420,593.77,594.11,593.72,594,8954
432,593.8783,594.16,593.69,593.69,4750
444,593.91,594.25,593.91,594.02,3321
456,594.23,594.23,593.9,594.07,2551
468,593.91,594.153,593.63,594.03,5216
480,593.89,594.07,593.89,593.94,2159
492,594.05,594.14,593.62,593.9476,4915
504,594.19,594.47,593.97,594.02,7021
516,594.16,594.21,593.96,594.022,3400
528,594.52,594.55,593.99,594.07,3820
540,594.39,594.65,594.03,594.59,4882
552,594.302,594.5,594.17,594.24,4191
564,594.05,594.66,594.0001,594.545,12872
576,594.062,594.23,593.8,593.88,3070
588,593.83,594.03,593.72,593.9001,3600
600,593.61,593.95,593.5601,593.89,3881
612,593.49,593.63,593.26,593.56,6229
624,593.696,593.9,593.435,593.46,3698
636,593.65,593.65,593.65,593.65,200
648,593.455,593.72,593.455,593.72,600
660,593.6507,593.765,593.61,593.72,2524
672,593.7,593.79,593.3,593.72,4756
684,593.85,593.96,593.3,593.63,10026
696,593.5,593.9,593.5,593.89,7490
708,593.735,593.87,593.53,593.59,2550
720,593.79,593.8,593.494,593.75,2804
732,593.5,593.88,593,593.82,9371
744,593.93,594,593.48,593.48,6300
756,593.64,594,593.6,594,1502
768,593.53,593.76,593.384,593.6,5706
780,594.25,594.35,593.47,593.47,7450
792,594.09,594.4,594.09,594.29,3500
804,593.95,594.29,593.94,594.14,2972
816,593.8693,593.95,593.7,593.95,1500
828,593.93,593.96,593.7,593.71,2000
840,593.805,594.557,593.805,594,4831
852,593.65,594.27,593.5101,593.96,9706
864,593.86,593.99,593.56,593.68,6975
876,593.73,593.85,593.72,593.85,5806
888,594.02,594.06,593.7,593.73,10321
900,593.96,594.16,593.87,594.12,9807
912,594.1,594.1,593.56,593.908,10439
924,594.11,594.29,593.95,593.9593,7067
936,594.22,594.45,593.89,594.23,9539
948,594.7,594.87,594.19,594.43,13674
960,594.54,594.77,594.42,594.7,4139
972,594.64,594.76,594.5,594.5,3180
984,594.7,594.8,594.5,594.692,1459
996,594.4901,594.68,594.4901,594.68,1400
a1411138440,594.9,594.9,594.52,594.52,3200
12,594.94,595,594.8,594.8,7325
24,594.7,594.94,594.65,594.94,2600
36,594.82,594.95,594.74,594.75,2780
48,594.74,594.91,594.73,594.83,3716
60,594.75,594.85,594.57,594.8,2139
72,594.66,594.92,594.61,594.89,2800
84,594.41,594.78,594.41,594.78,2420
96,594.6,594.73,593.91,594.37,8053
108,594.6,594.8,594.52,594.52,1700
120,594.64,594.65,594.39,594.57,4434
132,594.5,594.63,594.44,594.6125,1655
144,594.76,594.85,594.6,594.6,2064
156,594.76,594.84,594.66,594.78,1700
168,594.9999,595.07,594.75,594.88,17075
180,594.98,594.98,594.84,594.91,4214
192,594.91,595.06,594.75,594.945,5070
204,594.95,595.02,594.81,594.96,6500
216,594.83,594.9799,594.75,594.9,2595
228,594.8,594.85,594.71,594.735,2903
240,594.47,594.8,594.26,594.79,7000
252,594.4299,594.59,594.22,594.3,3714
264,594.44,594.48,594.15,594.26,4500
276,594.5,594.67,594.05,594.4,5600
288,594.37,594.56,594.29,594.42,5680
300,594.36,594.52,594.15,594.52,3910
312,594.41,594.5,594.15,594.39,8633
324,594.15,594.56,593.83,594.49,18214
336,593.9,594.275,593.9,594.15,14952
348,594.15,594.21,593.93,594.06,7159
360,594.06,594.36,594,594.3,1300
372,594.1,594.176,594.05,594.08,2025
384,594.16,594.28,594.04,594.105,3348
396,593.85,594.1303,593.85,594.03,4841
408,592.73,593.9,592.68,593.84,9781
420,593.41,593.52,592.65,592.75,16702
432,592.99,593.21,592.78,593.17,6300
444,593.11,593.11,592.76,592.81,2660
456,592.92,593.15,592.52,593.15,2042
468,592.79,592.79,592.51,592.7,2400
480,592.505,592.75,592.37,592.75,1800
492,592.56,592.66,592.37,592.45,3268
504,592.36,592.63,592.35,592.6,2220
516,592.29,592.69,592.29,592.58,4560
528,592.43,592.53,592.35,592.38,1242
540,592.215,592.58,592.111,592.58,3708
552,592.16,592.47,592.15,592.15,2600
564,592,592.3699,591.88,592.1873,3938
576,591.94,592.15,591.78,591.88,2844
588,592.17,592.19,591.96,592.115,900
600,591.91,592.19,591.91,592.03,4033
612,592.31,592.31,591.8,591.91,3452
624,592.67,592.67,592.12,592.31,5355
636,592.45,592.6599,592.32,592.48,1700
648,592.4,592.6,592.35,592.6,2100
660,592.4301,592.55,592.18,592.33,1700
672,592.38,592.77,592.31,592.49,3400
684,592.4,592.75,592.37,592.51,6512
696,592.4,592.4,592.36,592.39,1000
708,592.17,592.36,592.15,592.36,1405
720,592.3,592.31,592.14,592.15,4458
